"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"20",624586,"Hoyt, James","20","100.0","0.500","0.000","0.500","0.500","0.525","0.463","0.360","1","2","89.8","1.5","2272","90.7","90.68","0","4","16","0.0","6.38","111","158","111","154","306","329","302"
"19",663559,"Falter, Bailey","19","100.0","0.200","0.000","0.333","0.200","0.177","0.095","0.100","1","5","87.5","-1.7","1874","91.1","94.13","2","10","9","3.0","7.55","107","146","119","146","303","344","306"
"19",606625,"Moronta, Reyes","19","100.0","0.167","0.500","0.000","0.667","0.339","0.404","0.272","1","6","85.6","2.6","2234","93.9","94.31","2","12","7","0.4","6.51","114","160","117","150","305","324","293"
"19",660825,"Bazardo, Eduard","19","100.0","0.000","0.000","0.000","0.000","0.231","0.700","0.440","0","2","101.0","19.0","2035","93.8","93.22","0","6","13","-0.6","5.96","120","159","125","149","297","326","296"
"18",641420,"Burdi, Zack","18","100.0","0.375","0.375","0.400","0.750","0.475","0.460","0.374","3","8","96.5","10.0","2514","95.5","95.39","4","11","7","-0.1","6.07","114","148","120","148","274","317","299"
"18",607560,"Harper, Ryne","18","100.0","0.250","0.125","0.286","0.375","0.314","0.339","0.291","2","8","76.3","4.6","1932","82.3","82.73","0","8","10","0.4","6.46","108","148","122","146","302","312","303"
"17",467008,"Strop, Pedro","17","100.0","1.000","0.000","1.000","1.000","0.883","0.689","0.739","2","2","87.6","11.0","2349","91.9","92.46","0","5","12","0.6","6.59","107","155","114","149","300","334","299"
"17",572020,"Paxton, James","17","100.0","0.000","0.000","0.000","0.000","0.173","0.210","0.055","0","3","66.2","14.5","2252","93.2","93.04","1","7","10","-0.2","6.41","110","153","117","144","298","318","293"
"17",621078,"Lail, Brady","17","100.0","0.167","0.000","0.200","0.167","0.147","0.093","0.090","1","6","82.5","24.0","2494","87.9","87.24","2","8","9","-0.7","5.90","113","152","116","148","307","320","297"
"16",661403,"Clase, Emmanuel","16","100.0","0.000","0.000","0.000","0.000","0.000","0.316","0.232","0","4","78.7","4.8","2548","100.4","100.84","1","7","9","0.4","6.53","111","152","115","150","293","322","296"
"16",605521,"Warren, Art","16","100.0","0.000","0.000","0.000","0.000","0.346","0.409","0.077","0","1","101.3","43.0","2345","96.0","96.98","2","7","9","1.0","6.48","101","149","123","151","310","327","298"
"16",593833,"Suero, Wander","16","100.0","0.667","1.000","1.000","1.667","0.972","0.705","0.424","2","3","103.0","9.0","2710","80.7","80.44","0","7","9","-0.3","6.35","107","148","125","144","301","316","295"
"15",676755,"Mattson, Isaac","15","100.0","1.000","1.000","1.000","2.000","0.973","1.165","0.920","1","1","107.0","22.0","2192","91.1","91.46","1","5","10","0.4","6.83","100","144","126","148","303","328","297"
"15",621114,"Burr, Ryan","15","100.0","0.000","0.000","0.000","0.000","0.000","0.054","0.057","0","4","87.8","5.0","2111","94.4","95.57","1","7","8","1.2","6.78","119","155","119","152","296","306","288"
"15",622694,"Hernandez, Elieser","15","100.0","0.500","0.750","0.500","1.250","0.729","0.453","0.333","2","4","102.7","32.3","2322","90.0","89.67","2","8","7","-0.3","6.24","112","158","124","144","306","320","298"
"15",605501,"Tarpley, Stephen","15","100.0","1.000","0.000","1.000","1.000","0.748","0.723","0.857","1","1","76.4","16.0","2100","86.7","86.35","1","2","13","-0.4","6.27","105","142","113","145","301","331","305"
"15",669214,"Menez, Conner","15","100.0","0.000","0.000","0.000","0.000","0.000","0.125","0.133","0","3","78.5","-2.5","2285","89.6","90.13","1","9","6","0.5","6.64","115","162","126","149","292","327","288"
"15",621139,"Kriske, Brooks","15","100.0","0.333","1.000","0.000","1.333","0.684","0.469","0.177","1","3","94.6","11.7","2282","94.4","94.46","0","5","10","0.1","6.43","102","150","111","146","301","325","284"
"14",596049,"Morimando, Shawn","14","100.0","0.800","1.000","0.750","1.800","1.019","0.470","0.309","4","5","91.0","11.6","2244","89.8","89.65","2","8","6","-0.1","6.33","117","147","134","148","298","313","288"
"14",608678,"Leone, Dominic","14","100.0","0.500","0.000","0.500","0.500","0.442","0.539","0.483","1","2","99.7","27.0","2214","95.7","95.90","3","9","5","0.2","6.30","118","177","143","151","287","327","293"
